testingType, system, assimilationMethod, observationInterval, stateError, timeError, RMSE, 
True,L63+time,EAKF,0.5,0.01,0.0,0.3556235250673435,
True,L63+time,EAKF,0.5,0.01,0.0,0.33772953082893786,
True,L63+time,EAKF,0.5,0.01,0.0,0.3267985779282267,
True,L63+time,EAKF,0.5,0.01,0.001,0.43577233523351594,
True,L63+time,EAKF,0.5,0.01,0.001,0.3016881153201287,
True,L63+time,EAKF,0.5,0.01,0.001,0.36673673647305316,
True,L63+time,EAKF,0.5,0.01,0.002,0.3204652496692934,
True,L63+time,EAKF,0.5,0.01,0.002,0.3465229856075701,
True,L63+time,EAKF,0.5,0.01,0.002,0.29863166064655244,
True,L63+time,EAKF,0.5,0.01,0.003,0.40093029874757785,
True,L63+time,EAKF,0.5,0.01,0.003,0.41780181479927314,
True,L63+time,EAKF,0.5,0.01,0.003,0.4071845025761675,
True,L63+time,EAKF,0.5,0.01,0.004,0.47791114313015476,
True,L63+time,EAKF,0.5,0.01,0.004,0.4327756617070279,
True,L63+time,EAKF,0.5,0.01,0.004,0.4566664249840327,
True,L63+time,EAKF,0.5,0.01,0.005,0.5549498308730838,
True,L63+time,EAKF,0.5,0.01,0.005,0.5768567900856357,
True,L63+time,EAKF,0.5,0.01,0.005,0.5573377460988028,
True,L63+time,EAKF,0.5,0.01,0.006,0.5813684708302266,
True,L63+time,EAKF,0.5,0.01,0.006,0.5668967827630276,
True,L63+time,EAKF,0.5,0.01,0.006,0.5834513568123183,
True,L63+time,EAKF,0.5,0.01,0.007,0.6476657566274064,
True,L63+time,EAKF,0.5,0.01,0.007,0.7230074170777467,
True,L63+time,EAKF,0.5,0.01,0.007,0.6811380376713905,
True,L63+time,EAKF,0.5,0.01,0.008,0.9474402514581776,
True,L63+time,EAKF,0.5,0.01,0.008,0.8151156673154757,
True,L63+time,EAKF,0.5,0.01,0.008,0.8399640357679455,
True,L63+time,EAKF,0.5,0.01,0.009000000000000001,0.9080447883149034,
True,L63+time,EAKF,0.5,0.01,0.009000000000000001,0.8730739141612568,
True,L63+time,EAKF,0.5,0.01,0.009000000000000001,0.9197916108954673,
True,L63+time,EAKF,0.5,0.01,0.01,1.003384238674939,
True,L63+time,EAKF,0.5,0.01,0.01,0.9105433549934809,
True,L63+time,EAKF,0.5,0.01,0.01,0.9569673014673152,
True,L63+time,EAKF,0.5,0.01,0.011,1.1192132288313494,
True,L63+time,EAKF,0.5,0.01,0.011,1.166564900100105,
True,L63+time,EAKF,0.5,0.01,0.011,1.0724584507852315,
True,L63+time,EAKF,0.5,0.01,0.012,1.2222955712991344,
True,L63+time,EAKF,0.5,0.01,0.012,1.1474228123927357,
True,L63+time,EAKF,0.5,0.01,0.012,1.9955311475797335,
True,L63+time,EAKF,0.5,0.01,0.013000000000000001,1.3415048529428228,
True,L63+time,EAKF,0.5,0.01,0.013000000000000001,1.2407842931913462,
True,L63+time,EAKF,0.5,0.01,0.013000000000000001,1.3790761768939157,
True,L63+time,EAKF,0.5,0.01,0.014,1.3341363337483405,
True,L63+time,EAKF,0.5,0.01,0.014,1.6474090243843509,
True,L63+time,EAKF,0.5,0.01,0.014,1.3349249908922862,
True,L63+time,EAKF,0.5,0.01,0.015,1.37226069829769,
True,L63+time,EAKF,0.5,0.01,0.015,1.4469021781232345,
True,L63+time,EAKF,0.5,0.01,0.015,1.7065924786811735,
True,L63+time,EAKF,0.5,0.01,0.016,1.5840080104254177,
True,L63+time,EAKF,0.5,0.01,0.016,2.084474970501644,
True,L63+time,EAKF,0.5,0.01,0.016,1.6699164810155724,
True,L63+time,EAKF,0.5,0.01,0.017,1.837403803642583,
True,L63+time,EAKF,0.5,0.01,0.017,1.6082898939064187,
True,L63+time,EAKF,0.5,0.01,0.017,1.6838222202137592,
True,L63+time,EAKF,0.5,0.01,0.018000000000000002,1.9146851536061464,
True,L63+time,EAKF,0.5,0.01,0.018000000000000002,2.215410315319942,
True,L63+time,EAKF,0.5,0.01,0.018000000000000002,1.7423670683791546,
True,L63+time,EAKF,0.5,0.01,0.019,1.89636909470386,
True,L63+time,EAKF,0.5,0.01,0.019,2.0461767952824643,
True,L63+time,EAKF,0.5,0.01,0.019,1.9248733015122605,
True,L63+time,EAKF,0.5,0.01,0.02,2.092446491772359,
True,L63+time,EAKF,0.5,0.01,0.02,2.0955233362405976,
True,L63+time,EAKF,0.5,0.01,0.02,2.531511571703653,
True,L63+time,EAKF,0.5,0.01,0.021,1.9308739130163557,
True,L63+time,EAKF,0.5,0.01,0.021,2.3675024700542266,
True,L63+time,EAKF,0.5,0.01,0.021,2.5008850420766935,
True,L63+time,EAKF,0.5,0.01,0.022,2.447918495798769,
True,L63+time,EAKF,0.5,0.01,0.022,2.4795376695010876,
True,L63+time,EAKF,0.5,0.01,0.022,2.613899010143477,
True,L63+time,EAKF,0.5,0.01,0.023,1.9717661130634838,
True,L63+time,EAKF,0.5,0.01,0.023,2.4407447105163844,
True,L63+time,EAKF,0.5,0.01,0.023,2.4151785632456075,
True,L63+time,EAKF,0.5,0.01,0.024,2.686467681421588,
True,L63+time,EAKF,0.5,0.01,0.024,2.249689109065466,
True,L63+time,EAKF,0.5,0.01,0.024,2.242145675264941,
True,L63+time,EAKF,0.5,0.01,0.025,2.236388637804969,
True,L63+time,EAKF,0.5,0.01,0.025,2.4273851771363706,
True,L63+time,EAKF,0.5,0.01,0.025,2.5631384485697444,
True,L63+time,EAKF,0.5,0.01,0.026000000000000002,2.6647332628072706,
True,L63+time,EAKF,0.5,0.01,0.026000000000000002,2.7939141504435274,
True,L63+time,EAKF,0.5,0.01,0.026000000000000002,2.393148961361401,
True,L63+time,EAKF,0.5,0.01,0.027,2.8243380791040864,
True,L63+time,EAKF,0.5,0.01,0.027,2.5954678321365665,
True,L63+time,EAKF,0.5,0.01,0.027,2.63883921978657,
True,L63+time,EAKF,0.5,0.01,0.028,2.7255900563597697,
True,L63+time,EAKF,0.5,0.01,0.028,3.1166727838081414,
True,L63+time,EAKF,0.5,0.01,0.028,2.876418243740377,
True,L63+time,EAKF,0.5,0.01,0.029,2.8548446531807965,
True,L63+time,EAKF,0.5,0.01,0.029,2.74357205406194,
True,L63+time,EAKF,0.5,0.01,0.029,2.927517647097931,
True,L63+time,EAKF,0.5,0.01,0.03,2.9746943604677814,
True,L63+time,EAKF,0.5,0.01,0.03,2.7758480211706655,
True,L63+time,EAKF,0.5,0.01,0.03,2.712628478243007,
True,L63+time,EAKF,0.5,0.01,0.031,2.8130382954289033,
True,L63+time,EAKF,0.5,0.01,0.031,3.142022856372803,
True,L63+time,EAKF,0.5,0.01,0.031,2.857469764965897,
True,L63+time,EAKF,0.5,0.01,0.032,3.029580660741173,
True,L63+time,EAKF,0.5,0.01,0.032,3.1897674879147693,
True,L63+time,EAKF,0.5,0.01,0.032,3.18568432810989,
True,L63+time,EAKF,0.5,0.01,0.033,3.1247689342297873,
True,L63+time,EAKF,0.5,0.01,0.033,3.1202321669490165,
True,L63+time,EAKF,0.5,0.01,0.033,3.216993189434733,
True,L63+time,EAKF,0.5,0.01,0.034,3.1170399812668355,
True,L63+time,EAKF,0.5,0.01,0.034,3.2417257532141757,
True,L63+time,EAKF,0.5,0.01,0.034,3.20071610137311,
True,L63+time,EAKF,0.5,0.01,0.035,3.3747659553865414,
True,L63+time,EAKF,0.5,0.01,0.035,3.3761142524540646,
True,L63+time,EAKF,0.5,0.01,0.035,3.4226364441373827,
True,L63+time,EAKF,0.5,0.01,0.036000000000000004,3.372169518166144,
True,L63+time,EAKF,0.5,0.01,0.036000000000000004,3.674676202168501,
True,L63+time,EAKF,0.5,0.01,0.036000000000000004,3.4124801256439876,
True,L63+time,EAKF,0.5,0.01,0.037,3.678229262483685,
True,L63+time,EAKF,0.5,0.01,0.037,3.716680056082675,
True,L63+time,EAKF,0.5,0.01,0.037,3.578712765497254,
True,L63+time,EAKF,0.5,0.01,0.038,3.7985088941063463,
True,L63+time,EAKF,0.5,0.01,0.038,3.5404429937088566,
True,L63+time,EAKF,0.5,0.01,0.038,3.4878763249933433,
True,L63+time,EAKF,0.5,0.01,0.039,3.633653275202817,
True,L63+time,EAKF,0.5,0.01,0.039,3.993187282138096,
True,L63+time,EAKF,0.5,0.01,0.039,3.95203602494176,
True,L63+time,EAKF,0.5,0.01,0.04,4.386662772455939,
True,L63+time,EAKF,0.5,0.01,0.04,3.753929047702542,
True,L63+time,EAKF,0.5,0.01,0.04,4.095270718183246,
True,L63+time,EAKF,0.5,0.01,0.041,3.9857778919736813,
True,L63+time,EAKF,0.5,0.01,0.041,4.1307302315711425,
True,L63+time,EAKF,0.5,0.01,0.041,3.930268481171965,
True,L63+time,EAKF,0.5,0.01,0.042,4.1697164521017465,
True,L63+time,EAKF,0.5,0.01,0.042,4.1063509049866225,
True,L63+time,EAKF,0.5,0.01,0.042,4.082054281851198,
True,L63+time,EAKF,0.5,0.01,0.043000000000000003,4.223794504445322,
True,L63+time,EAKF,0.5,0.01,0.043000000000000003,4.074350292931289,
True,L63+time,EAKF,0.5,0.01,0.043000000000000003,4.316359268636644,
True,L63+time,EAKF,0.5,0.01,0.044,4.300679310393316,
True,L63+time,EAKF,0.5,0.01,0.044,4.010590974199635,
True,L63+time,EAKF,0.5,0.01,0.044,4.1960185024138195,
True,L63+time,EAKF,0.5,0.01,0.045,4.705065589041969,
True,L63+time,EAKF,0.5,0.01,0.045,4.731523622475406,
True,L63+time,EAKF,0.5,0.01,0.045,4.210846083128196,
True,L63+time,EAKF,0.5,0.01,0.046,4.364631164371265,
True,L63+time,EAKF,0.5,0.01,0.046,4.4112881542384965,
True,L63+time,EAKF,0.5,0.01,0.046,4.599865891271848,
True,L63+time,EAKF,0.5,0.01,0.047,4.4462448567416,
True,L63+time,EAKF,0.5,0.01,0.047,4.9351836982645185,
True,L63+time,EAKF,0.5,0.01,0.047,4.569306977738149,
True,L63+time,EAKF,0.5,0.01,0.048,4.950210573065274,
True,L63+time,EAKF,0.5,0.01,0.048,4.938141986939754,
True,L63+time,EAKF,0.5,0.01,0.048,4.472678999074436,
True,L63+time,EAKF,0.5,0.01,0.049,5.067398042587605,
True,L63+time,EAKF,0.5,0.01,0.049,4.402700289950027,
True,L63+time,EAKF,0.5,0.01,0.049,4.4959520922996274,
True,L63+time,EAKF,0.5,0.05,0.0,0.6003169881559088,
True,L63+time,EAKF,0.5,0.05,0.0,0.47240580594280374,
True,L63+time,EAKF,0.5,0.05,0.0,0.5914276161716584,
True,L63+time,EAKF,0.5,0.05,0.001,0.45468524188382403,
True,L63+time,EAKF,0.5,0.05,0.001,0.42012900069231773,
True,L63+time,EAKF,0.5,0.05,0.001,0.4020341473641339,
True,L63+time,EAKF,0.5,0.05,0.002,0.4571556131376663,
True,L63+time,EAKF,0.5,0.05,0.002,0.4574795159287143,
True,L63+time,EAKF,0.5,0.05,0.002,0.4993870487612713,
True,L63+time,EAKF,0.5,0.05,0.003,0.5123516317399528,
True,L63+time,EAKF,0.5,0.05,0.003,0.47729826686414295,
True,L63+time,EAKF,0.5,0.05,0.003,0.489199575368991,
True,L63+time,EAKF,0.5,0.05,0.004,0.5388072787924744,
True,L63+time,EAKF,0.5,0.05,0.004,0.5230726229874147,
True,L63+time,EAKF,0.5,0.05,0.004,0.5894025776676454,
True,L63+time,EAKF,0.5,0.05,0.005,0.5939732674836239,
True,L63+time,EAKF,0.5,0.05,0.005,0.6495729801966295,
True,L63+time,EAKF,0.5,0.05,0.005,0.6885954827966579,
True,L63+time,EAKF,0.5,0.05,0.006,0.7327241725812637,
True,L63+time,EAKF,0.5,0.05,0.006,0.6894721710396383,
True,L63+time,EAKF,0.5,0.05,0.006,0.6585588546858456,
True,L63+time,EAKF,0.5,0.05,0.007,0.8363363927983525,
True,L63+time,EAKF,0.5,0.05,0.007,0.7916347764389206,
True,L63+time,EAKF,0.5,0.05,0.007,0.7310262761837634,
True,L63+time,EAKF,0.5,0.05,0.008,0.9547371873150682,
True,L63+time,EAKF,0.5,0.05,0.008,0.8935424602569383,
True,L63+time,EAKF,0.5,0.05,0.008,0.8618899150354146,
True,L63+time,EAKF,0.5,0.05,0.009000000000000001,0.9395138957478657,
True,L63+time,EAKF,0.5,0.05,0.009000000000000001,0.9840204937989331,
True,L63+time,EAKF,0.5,0.05,0.009000000000000001,0.8584027104661177,
True,L63+time,EAKF,0.5,0.05,0.01,1.1044648510563126,
True,L63+time,EAKF,0.5,0.05,0.01,1.0436162297738363,
True,L63+time,EAKF,0.5,0.05,0.01,0.9784681034717799,
True,L63+time,EAKF,0.5,0.05,0.011,1.170665938328757,
True,L63+time,EAKF,0.5,0.05,0.011,1.1462699531921043,
True,L63+time,EAKF,0.5,0.05,0.011,1.1534011086455114,
True,L63+time,EAKF,0.5,0.05,0.012,1.2660401931184768,
True,L63+time,EAKF,0.5,0.05,0.012,1.3229131407102042,
True,L63+time,EAKF,0.5,0.05,0.012,1.1154428086859953,
True,L63+time,EAKF,0.5,0.05,0.013000000000000001,2.020559138774625,
True,L63+time,EAKF,0.5,0.05,0.013000000000000001,1.3112858999864965,
True,L63+time,EAKF,0.5,0.05,0.013000000000000001,1.291261165023106,
True,L63+time,EAKF,0.5,0.05,0.014,1.9663640404438352,
True,L63+time,EAKF,0.5,0.05,0.014,1.7489202215198978,
True,L63+time,EAKF,0.5,0.05,0.014,1.2536214682875562,
True,L63+time,EAKF,0.5,0.05,0.015,1.508678038580645,
True,L63+time,EAKF,0.5,0.05,0.015,1.5804573445097192,
True,L63+time,EAKF,0.5,0.05,0.015,1.4800119859704899,
True,L63+time,EAKF,0.5,0.05,0.016,1.7561770494213857,
True,L63+time,EAKF,0.5,0.05,0.016,2.175415335459543,
True,L63+time,EAKF,0.5,0.05,0.016,2.032731045114956,
True,L63+time,EAKF,0.5,0.05,0.017,1.7101431672746144,
True,L63+time,EAKF,0.5,0.05,0.017,1.7669639344074135,
True,L63+time,EAKF,0.5,0.05,0.017,1.5381334734595524,
True,L63+time,EAKF,0.5,0.05,0.018000000000000002,1.8754502091412424,
True,L63+time,EAKF,0.5,0.05,0.018000000000000002,1.8851812494607054,
True,L63+time,EAKF,0.5,0.05,0.018000000000000002,1.6701651081853206,
True,L63+time,EAKF,0.5,0.05,0.019,1.8880402452975766,
True,L63+time,EAKF,0.5,0.05,0.019,1.757756965861443,
True,L63+time,EAKF,0.5,0.05,0.019,2.2398797600169544,
True,L63+time,EAKF,0.5,0.05,0.02,2.0753728009364343,
True,L63+time,EAKF,0.5,0.05,0.02,1.9995426748820297,
True,L63+time,EAKF,0.5,0.05,0.02,2.1314297115391394,
True,L63+time,EAKF,0.5,0.05,0.021,2.0620786709328405,
True,L63+time,EAKF,0.5,0.05,0.021,2.1656538069952602,
True,L63+time,EAKF,0.5,0.05,0.021,2.3395992327185615,
True,L63+time,EAKF,0.5,0.05,0.022,2.4334260476685103,
True,L63+time,EAKF,0.5,0.05,0.022,2.0745536333226733,
True,L63+time,EAKF,0.5,0.05,0.022,2.2083417978129547,
True,L63+time,EAKF,0.5,0.05,0.023,2.3374161919848904,
True,L63+time,EAKF,0.5,0.05,0.023,2.471262896050066,
True,L63+time,EAKF,0.5,0.05,0.023,2.3729428607855856,
True,L63+time,EAKF,0.5,0.05,0.024,2.8373330119750553,
True,L63+time,EAKF,0.5,0.05,0.024,2.3822350620067603,
True,L63+time,EAKF,0.5,0.05,0.024,2.337961183928375,
True,L63+time,EAKF,0.5,0.05,0.025,2.695363233130379,
True,L63+time,EAKF,0.5,0.05,0.025,2.555633561578673,
True,L63+time,EAKF,0.5,0.05,0.025,3.2245041886602768,
True,L63+time,EAKF,0.5,0.05,0.026000000000000002,2.482791485880567,
True,L63+time,EAKF,0.5,0.05,0.026000000000000002,2.262974472308512,
True,L63+time,EAKF,0.5,0.05,0.026000000000000002,2.7489280120962567,
True,L63+time,EAKF,0.5,0.05,0.027,2.7790129014463973,
True,L63+time,EAKF,0.5,0.05,0.027,2.628435795903218,
True,L63+time,EAKF,0.5,0.05,0.027,2.551203227351526,
True,L63+time,EAKF,0.5,0.05,0.028,3.2330563220493924,
True,L63+time,EAKF,0.5,0.05,0.028,3.0002913379578873,
True,L63+time,EAKF,0.5,0.05,0.028,2.7607299346072525,
True,L63+time,EAKF,0.5,0.05,0.029,2.8639503586667994,
True,L63+time,EAKF,0.5,0.05,0.029,2.9217309362290798,
True,L63+time,EAKF,0.5,0.05,0.029,2.821605223297399,
True,L63+time,EAKF,0.5,0.05,0.03,2.7602132100912042,
True,L63+time,EAKF,0.5,0.05,0.03,2.893882500092572,
True,L63+time,EAKF,0.5,0.05,0.03,2.9805313513388056,
True,L63+time,EAKF,0.5,0.05,0.031,3.099606148173273,
True,L63+time,EAKF,0.5,0.05,0.031,3.075355588210436,
True,L63+time,EAKF,0.5,0.05,0.031,3.059149924017409,
True,L63+time,EAKF,0.5,0.05,0.032,3.9547110894224216,
True,L63+time,EAKF,0.5,0.05,0.032,2.8120228886019767,
True,L63+time,EAKF,0.5,0.05,0.032,3.2192764098068225,
True,L63+time,EAKF,0.5,0.05,0.033,3.3454972932544744,
True,L63+time,EAKF,0.5,0.05,0.033,2.9920049511978695,
True,L63+time,EAKF,0.5,0.05,0.033,3.2652754547584566,
True,L63+time,EAKF,0.5,0.05,0.034,3.40767198474122,
True,L63+time,EAKF,0.5,0.05,0.034,3.6113016158431446,
True,L63+time,EAKF,0.5,0.05,0.034,3.2243480041059622,
True,L63+time,EAKF,0.5,0.05,0.035,3.56522693426853,
True,L63+time,EAKF,0.5,0.05,0.035,3.5185814713206143,
True,L63+time,EAKF,0.5,0.05,0.035,3.249229690260442,
True,L63+time,EAKF,0.5,0.05,0.036000000000000004,3.2021307407492863,
True,L63+time,EAKF,0.5,0.05,0.036000000000000004,3.2023080561688304,
True,L63+time,EAKF,0.5,0.05,0.036000000000000004,3.5927200701721027,
True,L63+time,EAKF,0.5,0.05,0.037,3.4680640272747865,
True,L63+time,EAKF,0.5,0.05,0.037,3.5670137788518326,
True,L63+time,EAKF,0.5,0.05,0.037,3.7420629358142654,
True,L63+time,EAKF,0.5,0.05,0.038,3.636626581311862,
True,L63+time,EAKF,0.5,0.05,0.038,3.4314296445313675,
True,L63+time,EAKF,0.5,0.05,0.038,3.7969105245968837,
True,L63+time,EAKF,0.5,0.05,0.039,3.6895811988882645,
True,L63+time,EAKF,0.5,0.05,0.039,3.731837751609478,
True,L63+time,EAKF,0.5,0.05,0.039,4.042526662704759,
True,L63+time,EAKF,0.5,0.05,0.04,4.110596488213472,
True,L63+time,EAKF,0.5,0.05,0.04,3.957019736627017,
True,L63+time,EAKF,0.5,0.05,0.04,4.015361623590632,
True,L63+time,EAKF,0.5,0.05,0.041,4.3386444415945835,
True,L63+time,EAKF,0.5,0.05,0.041,3.8410678948525634,
True,L63+time,EAKF,0.5,0.05,0.041,3.7606563412772602,
True,L63+time,EAKF,0.5,0.05,0.042,4.134330063342432,
True,L63+time,EAKF,0.5,0.05,0.042,3.9507229971730213,
True,L63+time,EAKF,0.5,0.05,0.042,3.892320685820161,
True,L63+time,EAKF,0.5,0.05,0.043000000000000003,4.310792938608812,
True,L63+time,EAKF,0.5,0.05,0.043000000000000003,4.434234020411072,
True,L63+time,EAKF,0.5,0.05,0.043000000000000003,4.059399398647559,
True,L63+time,EAKF,0.5,0.05,0.044,4.388200388177566,
