testingType, system, assimilationMethod, observationInterval, stateError, timeError, RMSE, 
True,L63+time,RHF,0.5,0.01,0.0,0.2779612959474432,
True,L63+time,RHF,0.5,0.01,0.0,0.2967231838305935,
True,L63+time,RHF,0.5,0.01,0.0,0.30872995627505617,
True,L63+time,RHF,0.5,0.01,0.001,0.3556379915395019,
True,L63+time,RHF,0.5,0.01,0.001,0.3821000752812942,
True,L63+time,RHF,0.5,0.01,0.001,0.42881737391688246,
True,L63+time,RHF,0.5,0.01,0.002,0.37312184670008197,
True,L63+time,RHF,0.5,0.01,0.002,0.48345520039357215,
True,L63+time,RHF,0.5,0.01,0.002,0.372319482792683,
True,L63+time,RHF,0.5,0.01,0.003,0.3871638983870994,
True,L63+time,RHF,0.5,0.01,0.003,0.38785128278125025,
True,L63+time,RHF,0.5,0.01,0.003,0.46411269610767836,
True,L63+time,RHF,0.5,0.01,0.004,0.4738821114997854,
True,L63+time,RHF,0.5,0.01,0.004,0.5018418240764319,
True,L63+time,RHF,0.5,0.01,0.004,0.5008049303076118,
True,L63+time,RHF,0.5,0.01,0.005,0.6111029896289335,
True,L63+time,RHF,0.5,0.01,0.005,0.5298427865928935,
True,L63+time,RHF,0.5,0.01,0.005,0.5975248265130828,
True,L63+time,RHF,0.5,0.01,0.006,0.5851011368883546,
True,L63+time,RHF,0.5,0.01,0.006,0.6307401438657462,
True,L63+time,RHF,0.5,0.01,0.006,0.6897926664623637,
True,L63+time,RHF,0.5,0.01,0.007,0.6505617758251591,
True,L63+time,RHF,0.5,0.01,0.007,0.6706174509177084,
True,L63+time,RHF,0.5,0.01,0.007,0.7971441056812013,
True,L63+time,RHF,0.5,0.01,0.008,0.7562705510829327,
True,L63+time,RHF,0.5,0.01,0.008,0.7752781837262934,
True,L63+time,RHF,0.5,0.01,0.008,0.8248469193963645,
True,L63+time,RHF,0.5,0.01,0.009000000000000001,0.952509059215284,
True,L63+time,RHF,0.5,0.01,0.009000000000000001,0.9373938832227843,
True,L63+time,RHF,0.5,0.01,0.009000000000000001,0.836849160269522,
True,L63+time,RHF,0.5,0.01,0.01,0.9823591011306492,
True,L63+time,RHF,0.5,0.01,0.01,0.9412389588632643,
True,L63+time,RHF,0.5,0.01,0.01,0.9726935081561342,
True,L63+time,RHF,0.5,0.01,0.011,1.038778359763688,
True,L63+time,RHF,0.5,0.01,0.011,1.0849517665299264,
True,L63+time,RHF,0.5,0.01,0.011,1.0808419362007318,
True,L63+time,RHF,0.5,0.01,0.012,1.122317837030676,
True,L63+time,RHF,0.5,0.01,0.012,1.15038509287171,
True,L63+time,RHF,0.5,0.01,0.012,1.0707799002998624,
True,L63+time,RHF,0.5,0.01,0.013000000000000001,1.2473773662991166,
True,L63+time,RHF,0.5,0.01,0.013000000000000001,1.150833744677567,
True,L63+time,RHF,0.5,0.01,0.013000000000000001,1.1681112748463962,
True,L63+time,RHF,0.5,0.01,0.014,1.3529094772580608,
True,L63+time,RHF,0.5,0.01,0.014,1.2992852510158728,
True,L63+time,RHF,0.5,0.01,0.014,1.3430323211307602,
True,L63+time,RHF,0.5,0.01,0.015,1.4742429393417398,
True,L63+time,RHF,0.5,0.01,0.015,1.4168373131160417,
True,L63+time,RHF,0.5,0.01,0.015,1.421847201853671,
True,L63+time,RHF,0.5,0.01,0.016,1.5724017426542514,
True,L63+time,RHF,0.5,0.01,0.016,1.5269565772456715,
True,L63+time,RHF,0.5,0.01,0.016,1.3764447217269982,
True,L63+time,RHF,0.5,0.01,0.017,1.768410997428445,
True,L63+time,RHF,0.5,0.01,0.017,1.52870734847718,
True,L63+time,RHF,0.5,0.01,0.017,1.6638685716385362,
True,L63+time,RHF,0.5,0.01,0.018000000000000002,1.7247093722859868,
True,L63+time,RHF,0.5,0.01,0.018000000000000002,1.685048689870854,
True,L63+time,RHF,0.5,0.01,0.018000000000000002,1.8087858160829375,
True,L63+time,RHF,0.5,0.01,0.019,1.8612431210915934,
True,L63+time,RHF,0.5,0.01,0.019,1.8713232020880177,
True,L63+time,RHF,0.5,0.01,0.019,1.800036240084184,
True,L63+time,RHF,0.5,0.01,0.02,1.875341072474724,
True,L63+time,RHF,0.5,0.01,0.02,1.9811543581189646,
True,L63+time,RHF,0.5,0.01,0.02,2.4922431021285183,
True,L63+time,RHF,0.5,0.01,0.021,1.9050086217667979,
True,L63+time,RHF,0.5,0.01,0.021,1.9112242625028766,
True,L63+time,RHF,0.5,0.01,0.021,2.2264574227940948,
True,L63+time,RHF,0.5,0.01,0.022,1.851964367570297,
True,L63+time,RHF,0.5,0.01,0.022,2.2335993099164995,
True,L63+time,RHF,0.5,0.01,0.022,2.2197132060354607,
True,L63+time,RHF,0.5,0.01,0.023,2.3897664976401183,
True,L63+time,RHF,0.5,0.01,0.023,2.285798042970588,
True,L63+time,RHF,0.5,0.01,0.023,2.252935446713009,
True,L63+time,RHF,0.5,0.01,0.024,2.2822172821905093,
True,L63+time,RHF,0.5,0.01,0.024,2.315550871199153,
True,L63+time,RHF,0.5,0.01,0.024,2.2520510073019118,
True,L63+time,RHF,0.5,0.01,0.025,2.469841700000697,
True,L63+time,RHF,0.5,0.01,0.025,2.4896164576206576,
True,L63+time,RHF,0.5,0.01,0.025,2.5594541149090198,
True,L63+time,RHF,0.5,0.01,0.026000000000000002,2.7855904676505006,
True,L63+time,RHF,0.5,0.01,0.026000000000000002,2.5758994731588007,
True,L63+time,RHF,0.5,0.01,0.026000000000000002,2.6136398450866225,
True,L63+time,RHF,0.5,0.01,0.027,2.6411252263305807,
True,L63+time,RHF,0.5,0.01,0.027,2.422462955283965,
True,L63+time,RHF,0.5,0.01,0.027,2.739524152417543,
True,L63+time,RHF,0.5,0.01,0.028,2.6951585003452876,
True,L63+time,RHF,0.5,0.01,0.028,3.0509146698008847,
True,L63+time,RHF,0.5,0.01,0.028,2.870193211118606,
True,L63+time,RHF,0.5,0.01,0.029,2.9784270553670953,
True,L63+time,RHF,0.5,0.01,0.029,2.718204859150895,
True,L63+time,RHF,0.5,0.01,0.029,2.8870170206315167,
True,L63+time,RHF,0.5,0.01,0.03,3.3194455584944493,
True,L63+time,RHF,0.5,0.01,0.03,2.85932609915739,
True,L63+time,RHF,0.5,0.01,0.03,3.056641019899632,
True,L63+time,RHF,0.5,0.01,0.031,2.9402574240278296,
True,L63+time,RHF,0.5,0.01,0.031,2.8752307464598936,
True,L63+time,RHF,0.5,0.01,0.031,3.1906286847488237,
True,L63+time,RHF,0.5,0.01,0.032,2.978621234365571,
True,L63+time,RHF,0.5,0.01,0.032,2.889835923344788,
True,L63+time,RHF,0.5,0.01,0.032,3.0541287700272135,
True,L63+time,RHF,0.5,0.01,0.033,3.035709283592238,
True,L63+time,RHF,0.5,0.01,0.033,3.116115529328801,
True,L63+time,RHF,0.5,0.01,0.033,3.3829159959291473,
True,L63+time,RHF,0.5,0.01,0.034,3.488268169603322,
True,L63+time,RHF,0.5,0.01,0.034,3.2760183102223466,
True,L63+time,RHF,0.5,0.01,0.034,3.4018529538018396,
True,L63+time,RHF,0.5,0.01,0.035,3.430189767694821,
True,L63+time,RHF,0.5,0.01,0.035,3.2664592265560004,
True,L63+time,RHF,0.5,0.01,0.035,3.9881381344564226,
True,L63+time,RHF,0.5,0.01,0.036000000000000004,3.5136062786129125,
True,L63+time,RHF,0.5,0.01,0.036000000000000004,3.912240182521171,
True,L63+time,RHF,0.5,0.01,0.036000000000000004,3.6694466706222304,
True,L63+time,RHF,0.5,0.01,0.037,3.8152434155121493,
True,L63+time,RHF,0.5,0.01,0.037,3.7394179415798527,
True,L63+time,RHF,0.5,0.01,0.037,3.525402477532031,
True,L63+time,RHF,0.5,0.01,0.038,3.6614333322206742,
True,L63+time,RHF,0.5,0.01,0.038,3.4789414756809833,
True,L63+time,RHF,0.5,0.01,0.038,3.6647878340855007,
True,L63+time,RHF,0.5,0.01,0.039,3.776445641912292,
True,L63+time,RHF,0.5,0.01,0.039,3.519938656423759,
True,L63+time,RHF,0.5,0.01,0.039,3.813101779757401,
True,L63+time,RHF,0.5,0.01,0.04,3.277757950432245,
True,L63+time,RHF,0.5,0.01,0.04,3.715784953328394,
True,L63+time,RHF,0.5,0.01,0.04,4.156463805048244,
True,L63+time,RHF,0.5,0.01,0.041,3.7809329079831175,
True,L63+time,RHF,0.5,0.01,0.041,4.325810993793998,
True,L63+time,RHF,0.5,0.01,0.041,3.6455085755456276,
True,L63+time,RHF,0.5,0.01,0.042,3.9510560508386665,
True,L63+time,RHF,0.5,0.01,0.042,3.852618186949946,
True,L63+time,RHF,0.5,0.01,0.042,3.832264845558321,
True,L63+time,RHF,0.5,0.01,0.043000000000000003,4.018684090615979,
True,L63+time,RHF,0.5,0.01,0.043000000000000003,4.266009309274228,
True,L63+time,RHF,0.5,0.01,0.043000000000000003,4.153520303201934,
True,L63+time,RHF,0.5,0.01,0.044,4.395627024047973,
True,L63+time,RHF,0.5,0.01,0.044,4.077023273564735,
True,L63+time,RHF,0.5,0.01,0.044,4.479023474125891,
True,L63+time,RHF,0.5,0.01,0.045,4.298245035166953,
True,L63+time,RHF,0.5,0.01,0.045,4.78909812325623,
True,L63+time,RHF,0.5,0.01,0.045,4.440371536011188,
True,L63+time,RHF,0.5,0.01,0.046,4.717119285448889,
True,L63+time,RHF,0.5,0.01,0.046,4.555176774075146,
True,L63+time,RHF,0.5,0.01,0.046,5.061855348473036,
True,L63+time,RHF,0.5,0.01,0.047,4.222340050597961,
True,L63+time,RHF,0.5,0.01,0.047,4.331371007580294,
True,L63+time,RHF,0.5,0.01,0.047,4.62749057280296,
True,L63+time,RHF,0.5,0.01,0.048,4.7338881211385475,
True,L63+time,RHF,0.5,0.01,0.048,4.9641688057824505,
True,L63+time,RHF,0.5,0.01,0.048,4.8154033848912015,
True,L63+time,RHF,0.5,0.01,0.049,5.400695846832504,
True,L63+time,RHF,0.5,0.01,0.049,4.859534521858778,
True,L63+time,RHF,0.5,0.01,0.049,4.576008489023949,
True,L63+time,RHF,0.5,0.05,0.0,0.38317878386876036,
True,L63+time,RHF,0.5,0.05,0.0,0.4358792777329253,
