testingType, system, assimilationMethod, observationInterval, stateError, timeError, RMSE, 
True,L63+time,EAKF,0.5,0.01,0.0,0.736457676808126,
True,L63+time,EAKF,0.5,0.01,0.0,0.6596624418980986,
True,L63+time,EAKF,0.5,0.01,0.0,0.7619008372294358,
True,L63+time,EAKF,0.5,0.01,0.001,0.5267200193032223,
True,L63+time,EAKF,0.5,0.01,0.001,0.8722051011743079,
True,L63+time,EAKF,0.5,0.01,0.001,0.5838140990234583,
True,L63+time,EAKF,0.5,0.01,0.002,0.8294088613773138,
True,L63+time,EAKF,0.5,0.01,0.002,0.6190820238703972,
True,L63+time,EAKF,0.5,0.01,0.002,0.6252471583799724,
True,L63+time,EAKF,0.5,0.01,0.003,0.584189285821112,
True,L63+time,EAKF,0.5,0.01,0.003,0.7841061871114469,
True,L63+time,EAKF,0.5,0.01,0.003,0.8580026315256792,
True,L63+time,EAKF,0.5,0.01,0.004,0.6673891889554568,
True,L63+time,EAKF,0.5,0.01,0.004,0.9093706994154471,
True,L63+time,EAKF,0.5,0.01,0.004,0.6621775518548539,
True,L63+time,EAKF,0.5,0.01,0.005,0.6763580728099586,
True,L63+time,EAKF,0.5,0.01,0.005,0.8628197200337047,
True,L63+time,EAKF,0.5,0.01,0.005,0.8092911628698379,
True,L63+time,EAKF,0.5,0.01,0.006,0.7803683686680783,
True,L63+time,EAKF,0.5,0.01,0.006,0.8300663004533353,
True,L63+time,EAKF,0.5,0.01,0.006,0.8623491333049239,
True,L63+time,EAKF,0.5,0.01,0.007,0.8878750287898077,
True,L63+time,EAKF,0.5,0.01,0.007,0.8006696426829556,
True,L63+time,EAKF,0.5,0.01,0.007,0.9376894611091794,
True,L63+time,EAKF,0.5,0.01,0.008,0.9880055207596247,
True,L63+time,EAKF,0.5,0.01,0.008,1.0700726860678158,
True,L63+time,EAKF,0.5,0.01,0.008,1.0274270140069166,
True,L63+time,EAKF,0.5,0.01,0.009000000000000001,1.062794937862883,
True,L63+time,EAKF,0.5,0.01,0.009000000000000001,0.8261946557630747,
True,L63+time,EAKF,0.5,0.01,0.009000000000000001,1.0100084737004174,
True,L63+time,EAKF,0.5,0.01,0.01,0.7893326393072342,
True,L63+time,EAKF,0.5,0.01,0.01,1.3659843305783286,
